CustomerID,Name,Email,Phone,LastOrderDate
1,Adira Dugar,gatikbhasin@example.net,-3788683383,30-12-2023
2,Kashvi Maharaj,sahilsubramanian@example.org,-6754950103,29-08-2023
3,Farhan Buch,veerbhavsar@example.org,-9.19351E+11,03-08-2024
4,Nitya Vohra,priyansh67@example.org,-395035818,04-08-2024
5,Vanya Magar,indrajit01@example.com,-5495535614,09-11-2023
6,Shray Mahal,dhanuk05@example.org,-7293276947,26-03-2024
7,Kartik Sharaf,ritvikiyer@example.org,-1368671017,17-07-2024
8,Rania Hans,jagginitya@example.org,-9.19434E+11,10-06-2024
9,Alia Walla,aradhyavarghese@example.net,-5478723199,31-08-2023
10,Shamik Hora,raykashvi@example.com,-8430370914,23-08-2023
11,Anika Gour,lakshay73@example.org,-9.13807E+11,25-07-2024
12,Saanvi Dube,dixitarmaan@example.org,-9921740841,15-12-2023
13,Samiha Cheema,shlokbhat@example.com,-642304885,06-05-2024
14,Khushi Rege,ehsaanapte@example.net,-9.16368E+11,30-07-2024
15,Raunak Bora,jiya27@example.net,-9.14423E+11,28-02-2024
16,Ritvik Bhatnagar,edwinmannat@example.com,-9.15271E+11,05-06-2024
17,Aarush Lall,dhruv80@example.com,-6591702993,12-03-2024
18,Shalv Baral,qwali@example.net,-215840055,11-12-2023
19,Saira Brahmbhatt,seher27@example.org,-2767264277,06-03-2024
20,Trisha Sampath,bhattvivaan@example.com,-9.13061E+11,25-11-2023
21,Akarsh Som,elavarghese@example.org,-7090407243,07-07-2024
22,Stuvan Lanka,bumbnavya@example.com,-3885551375,03-10-2023
23,Dharmajan Kapadia,hbhattacharyya@example.org,-6888753694,29-06-2024
24,Keya Seshadri,ritvik94@example.net,-9.14745E+11,24-02-2024
25,Tara Setty,svohra@example.org,-5925593309,19-10-2023
26,Aarna Gupta,mahalanya@example.net,-2815395971,18-11-2023
27,Farhan Khanna,mehulbadami@example.net,-9.12644E+11,26-05-2024
28,Sumer Sawhney,ravaltanya@example.com,-5249642297,09-05-2024
29,Nitya Deshmukh,dasssaira@example.org,-813773456,24-06-2024
30,Kanav Chawla,ramatara@example.net,-8150264287,28-08-2023
31,Raunak Gera,taranitya@example.com,-4058135993,16-12-2023
32,Jayant Balasubramanian,vritika57@example.net,-9.15292E+11,20-05-2024
33,Advik Ram,dharkismat@example.net,-6819998527,22-07-2024
34,Yashvi Soman,qagrawal@example.org,-9.11152E+11,17-11-2023
35,Tejas Choudhary,subramanianneysa@example.net,-2498358818,18-02-2024
36,Diya Khare,saira60@example.com,-9.12826E+11,05-09-2023
37,Kabir Biswas,abram06@example.org,-6249844677,08-02-2024
38,Adah Bal,ybahri@example.org,-9.13894E+11,20-11-2023
39,Madhup Ramanathan,aarush95@example.org,-598696491,23-04-2024
40,Ivana Mander,mishabhardwaj@example.org,-923262338,09-01-2024
41,Vardaniya Swamy,aniruddh98@example.com,-5950348895,10-09-2023
42,Gatik Dasgupta,psabharwal@example.net,-9.13566E+11,14-07-2024
43,Vihaan Bal,chopratanya@example.com,-2837165700,28-01-2024
44,Yasmin Majumdar,taranrajan@example.org,-3499458498,17-12-2023
45,Ayesha Tata,evora@example.net,-9.19349E+11,28-02-2024
46,Myra Desai,balsamaira@example.com,-5725501722,13-04-2024
47,Kaira Master,shamikchanda@example.com,-9193873983,25-09-2023
48,Nirvi Sant,bhardwajtara@example.org,-9.13706E+11,10-05-2024
49,Gokul Amble,shamikchaudhary@example.net,-9.15831E+11,07-10-2023
50,Kashvi Tiwari,aarna94@example.com,-6576851644,26-09-2023
51,Rasha Garde,vivaan45@example.org,-9033432367,30-11-2023
52,Hridaan Khanna,ishitasrinivasan@example.com,-2955167846,25-09-2023
53,Azad Randhawa,bhasinfaiyaz@example.org,-9.11158E+11,03-10-2023
54,Jayan Zacharia,kanavatwal@example.net,-9.17198E+11,30-03-2024
55,Prisha Borah,rajagopalnayantara@example.org,-9.15903E+11,21-12-2023
56,Neysa Saraf,samihagoda@example.net,-9.12238E+11,10-08-2024
57,Navya Butala,zdara@example.com,-9.10557E+11,24-09-2023
